time	COG_x	COG_y	COG_z	COG_xx	COG_yy	COG_zz	p_x	p_y	p_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
1.5	-0.00120115	0.0222609	0.227499	-0.000922979	-0.0500791	0.227586	-0.000278168	0.07234	-8.68138e-05	0.0288202	0.0149529	0.311432	0.00139943	-0.134858	0.010082	-0.78956	1.53084	-0.0693857	-0.00111923	-0.0896777	0.009033	-0.743894	1.1236	-0.020461	
1.525	-0.000809159	0.0196794	0.227639	-0.00053099	-0.0526606	0.227726	-0.000278168	0.07234	-8.68138e-05	0.0293564	0.0110852	0.311606	0.0214468	-0.154708	0.00696525	0.801895	-0.793994	-0.12467	0.0156796	-0.103258	0.00561974	0.671951	-0.54322	-0.13653	
1.55	-0.000783141	0.0181582	0.227875	-0.000504973	-0.0541818	0.227962	-0.000278168	0.07234	-8.68138e-05	0.0293958	0.00865385	0.311929	0.00157498	-0.0972554	0.0129043	-0.794873	2.29811	0.237563	0.00104071	-0.0608502	0.00942331	-0.585554	1.69632	0.152143	
1.575	-0.000522228	0.0140674	0.227503	-0.000244059	-0.0582726	0.22759	-0.000278168	0.07234	-8.68138e-05	0.0299274	0.00287298	0.311405	0.0212647	-0.231235	-0.020957	0.78759	-5.35917	-1.35445	0.0104365	-0.16363	-0.0148805	0.375833	-4.11117	-0.972154	
1.6	-0.000591447	0.013117	0.227179	-0.000313278	-0.059223	0.227266	-0.000278168	0.07234	-8.68138e-05	0.0299	0.00147684	0.310903	-0.00109502	-0.0558457	-0.0200703	-0.89439	7.01556	0.0354695	-0.00276877	-0.0380174	-0.0129611	-0.528212	5.02448	0.0767763	
1.625	-0.00113341	0.0135596	0.226452	-0.000855238	-0.0587804	0.226539	-0.000278168	0.07234	-8.68138e-05	0.0292685	0.00212012	0.309805	-0.0252592	0.0257312	-0.0439407	-0.966566	3.26308	-0.954817	-0.0216784	0.0177055	-0.029068	-0.756385	2.22892	-0.644276	
1.65	-0.00249344	0.0153597	0.225064	-0.00221527	-0.0569803	0.225151	-0.00351968	0.0035691	-0.00128813	0.0276081	0.00426106	0.30813	-0.0664168	0.0856377	-0.0669958	-1.6463	2.39626	-0.922204	-0.0544013	0.0720046	-0.0555422	-1.30892	2.17196	-1.05897	
1.675	-0.00256385	0.0121258	0.225015	0.000955823	0.0085567	0.226303	-0.00351968	0.0035691	-0.00128813	0.0273736	-0.00021004	0.307256	-0.0093818	-0.178844	-0.0349389	2.2814	-10.5793	1.28228	-0.00281654	-0.129358	-0.00194278	2.06339	-8.05449	2.14397	
1.7	-0.00256486	0.0112349	0.225097	0.000954816	0.0076658	0.226386	-0.00351968	0.0035691	-0.00128813	0.0273331	-0.00157691	0.306775	-0.00161872	-0.0546747	-0.0192495	0.310523	4.96678	0.627574	-4.02833e-05	-0.0356361	0.00329089	0.11105	3.74886	0.209347	
1.725	-0.00221843	0.0109536	0.22503	0.00130124	0.00738447	0.226318	-0.00351968	0.0035691	-0.00128813	0.0277404	-0.00196111	0.30594	0.016294	-0.0153679	-0.0334088	0.716509	1.57227	-0.56637	0.013857	-0.0112534	-0.00270015	0.555892	0.975308	-0.239642	
1.75	-0.0022442	0.0107157	0.224798	0.00127547	0.00714656	0.226086	-0.00351968	0.0035691	-0.00128813	0.0277241	-0.00241101	0.30577	-0.000655024	-0.017996	-0.00679243	-0.677961	-0.105124	1.06465	-0.0010308	-0.00951629	-0.00927653	-0.595512	0.0694832	-0.263055	
1.775	-0.0021915	0.0102563	0.225291	0.00132818	0.0066872	0.226579	-0.00351968	0.0035691	-0.00128813	0.0277139	-0.0028682	0.305605	-0.000406081	-0.0182878	-0.00659517	0.00995773	-0.0116708	0.00789055	0.00210817	-0.0183744	0.0197037	0.125559	-0.354324	1.15921	
1.8	-0.00214154	0.0105472	0.22514	0.00137814	0.00697813	0.226428	-0.00351968	0.0035691	-0.00128813	0.0277459	-0.00243011	0.30586	0.00128077	0.0175235	0.0102091	0.0674739	1.43245	0.672171	0.00199841	0.0116373	-0.00602081	-0.00439007	1.20047	-1.02898	
1.825	-0.00194146	0.010525	0.225091	0.00157821	0.00695586	0.226379	-0.00351968	0.0035691	-0.00128813	0.0282509	-0.00248038	0.30629	0.0201971	-0.00201073	0.017172	0.756653	-0.781368	0.278514	0.008003	-0.000890765	-0.00198094	0.240183	-0.501122	0.161595	
1.85	-0.00186607	0.0104292	0.225089	0.0016536	0.0068601	0.226377	-0.00351968	0.0035691	-0.00128813	0.0282726	-0.00250886	0.306555	0.000870636	-0.0011391	0.0106185	-0.773058	0.0348651	-0.262137	0.00301571	-0.00383056	-7.74389e-05	-0.199492	-0.117592	0.0761399	
1.875	-0.00230355	0.0102251	0.224814	0.00121612	0.006656	0.226102	-0.00351968	0.0035691	-0.00128813	0.0278418	-0.00256645	0.307038	-0.0172346	-0.00230371	0.019317	-0.724209	-0.0465842	0.34794	-0.0174992	-0.00816414	-0.0110042	-0.820597	-0.173343	-0.437072	
1.9	-0.00203746	0.0105197	0.224736	0.00148221	0.00695059	0.226024	-0.00351968	0.0035691	-0.00128813	0.0283566	-0.00215409	0.30766	0.0205957	0.0164946	0.0248776	1.51321	0.751933	0.222424	0.0106436	0.0117839	-0.00311132	1.12571	0.797922	0.315717	
1.925	-0.00229722	0.0107061	0.225513	0.00122246	0.00713697	0.226801	-0.00351968	0.0035691	-0.00128813	0.0279883	-0.00182827	0.308954	-0.0147323	0.0130328	0.05176	-1.41312	-0.138472	1.0753	-0.0103901	0.0074551	0.0310811	-0.841346	-0.173152	1.3677	
1.95	-0.00235623	0.0157658	0.225806	0.00116345	0.0121967	0.227094	-0.00351968	0.0035691	-0.00128813	0.0280347	0.00526571	0.309777	0.00185514	0.283759	0.0329267	0.663496	10.8291	-0.753334	-0.00236041	0.202391	0.0117105	0.321187	7.79742	-0.774824	
1.975	-0.00263013	0.0181439	0.225928	0.000889541	0.0145748	0.227216	-0.00351968	0.0035691	-0.00128813	0.0275572	0.00860687	0.310086	-0.0191014	0.133646	0.0123337	-0.83826	-6.00451	-0.823718	-0.0109564	0.0951212	0.00489674	-0.343838	-4.29077	-0.27255	
2	-0.00253172	0.0202066	0.226107	0.000987953	0.0166375	0.227395	-0.00351968	0.0035691	-0.00128813	0.0275274	0.0115091	0.310072	-0.00119074	0.116089	-0.000526346	0.716425	-0.70228	-0.514403	0.0039365	0.0825097	0.00715203	0.595714	-0.50446	0.0902116	
2.025	-0.00301899	0.0231554	0.22629	0.000500684	0.0195863	0.227578	-0.00351968	0.0035691	-0.00128813	0.0270331	0.015817	0.310282	-0.0197719	0.172318	0.0083795	-0.743247	2.24913	0.356234	-0.0194908	0.117952	0.00733212	-0.93709	1.41769	0.00720357	
2.05	-0.00282215	0.0258384	0.226385	0.00069752	0.0222693	0.227673	-0.00351968	0.0035691	-0.00128813	0.0274765	0.0196632	0.310217	0.0177343	0.153847	-0.00257667	1.50025	-0.738814	-0.438247	0.00787344	0.107319	0.00379899	1.09457	-0.425301	-0.141325	
2.075	-0.003619	0.0288238	0.226407	-9.93266e-05	0.0252547	0.227696	-0.00351968	0.0035691	-0.00128813	0.026487	0.0239801	0.310229	-0.0395771	0.172676	0.000453163	-2.29246	0.753167	0.121193	-0.0318739	0.119416	0.000896896	-1.58989	0.483853	-0.116084	
2.1	-0.00356642	0.031682	0.226251	-4.67482e-05	0.0281129	0.227539	-0.00351968	0.0035691	-0.00128813	0.0264541	0.0282936	0.310084	-0.00131607	0.17254	-0.00577843	1.53044	-0.00547544	-0.249264	0.00210314	0.114327	-0.00626374	1.35908	-0.203545	-0.286425	
2.125	-0.00363158	0.0346066	0.226247	-0.000111906	0.0310375	0.227535	-0.00351968	0.0035691	-0.00128813	0.0264383	0.0325967	0.310068	-0.000633492	0.172124	-0.000641834	0.0273032	-0.0166101	0.205464	-0.00260631	0.116987	-0.00015556	-0.188378	0.106409	0.244327	
2.15	-0.0035906	0.0374273	0.226202	-7.09288e-05	0.0338582	0.22749	-0.00351968	0.0035691	-0.00128813	0.0264234	0.0368974	0.310038	-0.000595006	0.172028	-0.00121307	0.00153945	-0.00383741	-0.0228493	0.00163908	0.112828	-0.00180834	0.169815	-0.166373	-0.0661112	
2.175	-0.00360278	0.0403475	0.226095	-8.31069e-05	0.0367784	0.227383	-0.00351968	0.0035691	-0.00128813	0.0264111	0.041195	0.309929	-0.000493626	0.171903	-0.00436832	0.00405519	-0.00500782	-0.12621	-0.000487122	0.116808	-0.00427263	-0.0850481	0.159184	-0.0985714	
2.2	-0.00365697	0.0436693	0.226072	-0.000137298	0.0401002	0.22736	-0.00351968	0.0035691	-0.00128813	0.026413	0.0459697	0.309886	7.62029e-05	0.190987	-0.00170898	0.0227932	0.763339	0.106374	-0.00216764	0.132869	-0.000932828	-0.0672207	0.642454	0.133592	
2.225	-0.00357616	0.047211	0.225862	-5.64894e-05	0.0436419	0.22715	-0.00351968	0.0035691	-0.00128813	0.0264211	0.0512236	0.309712	0.000325695	0.210157	-0.00696385	0.00997967	0.766823	-0.210195	0.00323234	0.141672	-0.00840426	0.215999	0.352115	-0.298857	
2.25	-0.00288579	0.0498659	0.225977	0.000633883	0.0462968	0.227265	-0.00351968	0.0035691	-0.00128813	0.0274037	0.0550498	0.309758	0.0393043	0.153048	0.00185362	1.55914	-2.28435	0.352699	0.0276149	0.106192	0.00463068	0.975303	-1.41918	0.521398	
2.275	-0.00291137	0.0527725	0.226107	0.000608303	0.0492034	0.227395	-0.00351968	0.0035691	-0.00128813	0.0274462	0.0593702	0.309956	0.00169843	0.172814	0.00789378	-1.50423	0.790622	0.241606	-0.00102321	0.116267	0.005194	-1.14552	0.402983	0.0225328	
